text	|||	Refined_location
RT @aefbarr: Voters leaving Ridgeview High say it took over 5 hours to cast their vote. @wis10	|||	SC
8 hour lines to #vote in #Miami according to #local10 #fb	|||	FL
I don't see how people wait hours to vote. My dad waited 15 minutes. It doesn't make sense.	|||	FL
"I waited in a two hour line to vote this morning, came home and the same polling place had no line at all #badlifedecisions"	|||	DC
"Oh, sweet the lady I tailgated is now in front of me in the predicted 1.5 hour line to vote #lovinglife"	|||	IN
Waited 2 hours in line to vote #merica ____	|||	OH
"RT @LuvLuchia: It only took me 29 minutes to vote and I'm so grateful. To those of you standing on line for 5, 6, or 7 hours, you are pa ..."	|||	NY
I love the U.S. of A but there has to be a more efficient way to vote... 2 hour lines are a complete joke. #comeonamerica	|||	OK
I stood in line over an hour to vote: longest lines to vote in my 36 years of voting.	|||	FL
"I waited in line for 3 hours in order to vote for an Independent candidate, without having eaten anything all day. I hate having principles."	|||	NY
Well that wasnt bad at all. Maybe 15 minutes to vote. Much better than the 3 hours it took me to vote for Clinton the 1st time :p	|||	KS
RT @RuthAshley: It took me 20mins to vote. Everytime i ever voted. I dont know nothing bout waiting over an hour #earlyvoter	|||	FL
"I know people who went to #vote, stood in line for two hours and barely moved. Had to leave. #democracyfail"	|||	FL
In line to vote. Took @ThatBoyYimmy 1.5 hours. I may get to vote before they call the winner. In theory. ;)	|||	SC
"@terriers4ever  It took and Hour+, but I managed to get my thoughts in. I hope you guys are rocking the vote on the West Coast too!"	|||	NY
"@drmabuse Ed, I waited over an hour to vote in Prince William County. Six machines for literally thousands of people, but nobody left."	|||	DC
@Imif Buddy in Michigan said he waited two hours around noon to vote. I voted at 3:30 in CT...no waiting but steady stream. #election2012	|||	CT
@seanhannity Here in Virginia Beach Va. I stood in line THREE hours in the cold to vote!!!! The best 3 hours of my life!	|||	VA
I waited for about 45 min to vote. My man in Miami ... 4 hours. Do whatcha gotta!	|||	NJ
"@allisonchopin I took me an hour and 45 minutes    to vote this morning. So, you know, heads up."	|||	NY
"RT @ash2nicole: I waited 2 hours to vote and they didn't even give me an ""I voted"" sticker. Now that's some BS."	|||	NJ
Ironic that I could trade sovereign debt on my iPhone while I wait in a 4 hour line to vote AT A FIRE STATION #Election2012 #feelslike1952	|||	NY
Voting today @ PS158 took 15 min. (1st time there since '98). Horrified that some have to wait 4 hours to vote elsewhere in USA #RockTheVote	|||	NY
Waited over an hour to vote today! #worththewait http://t.co/dKh4BCLG	|||	OK
@A_M_Visuals I waited 2 1/2 hours to vote!! http://t.co/VAyrdS4W	|||	KS
"RT @TrinaNBC6: Waited hour &amp; an half to vote.  Abandoned the mission!  Must return at 6:30pm. Tried early voting 3 times, 3 places.  ..."	|||	FL
I am waiting on a 3 hour line to vote.  There is a guy selling pizza to the people on line... Something is very wrong.	|||	NY
I did it...I actually voted...I debated and debated and finally decided to vote. It took me an hour but the line... http://t.co/Uy0cR5wO	|||	MI
"It took me 1 hour, 15 minutes to vote on Shatto in Akron's Ward 8. Heaviest turnout I've ever seen. No comparison to ANY previous election."	|||	OH
Just waited an hour and a half in line to vote in Pasadena.	|||	MD
"Man, it took an hour for me to vote because turns out my dad had taken my vote. I'll explain more later, too tired for this shit."	|||	TX
"People in Bloomington waited 2 hours to vote while I drove 2 hours to walk in, cast my vote, and leave. Fair?"	|||	IN
Students at Ohio State University devoured free pizza as they waited on a two-hour line to vote at their student union. http://t.co/oquOtoYd	|||	NY
RT @SergeIbaka_OKC: I stood in line for 3 hours now they tellin me I can't vote cuz I'm from Africa..I'm bout to start a riot in this bi ...	|||	TX
"RT @LuvLuchia: It only took me 29 minutes to vote and I'm so grateful. To those of you standing on line for 5, 6, or 7 hours, you are pa ..."	|||	NY
"RT @itsK2yall: It took close to 4 hours to vote. Now the line is twice, if not three times, as long as it was when I got here. Worse tha ..."	|||	AL
RT @Blabbeando: It took one hour and thirty minutes to vote. Worth every second. #Obama	|||	NY
"I waited over an hour to vote, and I just kept thinking how pointless my vote is in Utah. I'm almost the only Democrat in the state."	|||	UT
Maybe the reason I waited an hour in line to vote had something to do with the woman looking up names being 150 years old and legally blind	|||	MA
My Sister says she waited in line 1.5 hours to vote in Manhattan. Wonder if there'll be high turnout in places that matter. #uselections	|||	NY
@H2oDAG @RoderickCrowley it took me and my mom an hour last thursday an hour to vote and we also had entertainment	|||	FL
RT @mztookiemonroe: #my vote counts that's why I got up at 8 am to stand in a line for a hour and a half before I went to work I need my ...	|||	GA
Do not let the poll excrement disuade you from voting.  I waited 2.5 hours in line to vote. Lets put Obama in the unemployment line. Michael	|||	TX
I love my country so much that I waited in line for 3 and a half hours to vote. ____ http://t.co/484RJH1h	|||	NJ
I waited almost 2 hours to vote bcus they ran out if ballots	|||	MI
Took 2 hours to vote. Fine. But I'm not okay with forcing people to wait in the freezing cold for 1 hour for no reason	|||	NY
Took my wife and I 5 minutes to vote. No lines. #score The voting early line this weekend was over two hours long. #dodgedthatbullet	|||	OK
Waited in line an hour to vote but was totally worth it because I got to meet my neighbors and learn more about them. #GoVote	|||	OH
@JenniferPreston @shearm My coworker said it took her 4.5 hours to vote and said people were leaving line because it was so bad.	|||	MD
RT @bwryan5: Stood in line with @brettryan24 @ItsProllyWilson and @ZacharyEthridge to vote! Good times. Worth the 2 hours	|||	VA
Took abt an hour to vote + no sticker! Just happy to cast my ballot! VOTE! #mivote	|||	MI
@BiasedGirl my friend in the city had 3 people in front of her today. Henrico - some people waited almost 2 hours to vote in areas... :)	|||	VA
#Voters at LifeChurch in #Edmond tell us they waited in line over 2 hours to vote this afternoon. #OKvotes http://t.co/A2Mg4jxr	|||	OK
"@BretBaier my wife just left poll in wabash county in, which closed at 6:00 still estimated 1 hour line still to vote.  Late night coming"	|||	IN
"The line grew at Endeavor Elementary and voters waited up to an hour to vote, according to polling manager - #ohel - http://t.co/AOoUWnAf"	|||	OH
"@TheScienceGuy THIS Floridian stood in line 3.5 hours last week to vote, and three times that considering my ballot choices ahead of time."	|||	FL
it took 2 hours for me to wait on that long line and vote ! but i did ! #2012PresidentialElection	|||	NY
I waited in line for 3 and a half hours to vote because I love my country that much. ____ http://t.co/pqAYZm0k	|||	NJ
I waited in line for 5 hours to #vote #makeitcount #nobama #romneyryan2012 #oneterm #nra http://t.co/OlS7LCLQ	|||	FL
It took me a hour to wait in line to vote this morning but it was worth it seeing that long ago legends fought for this right. #Thankful	|||	IN
RT @StanFinger: Waited in line about half an hour to vote.	|||	KS
8 yrs ago waited 5 hours this yr 20 mins RT @noellenikpour Voters should not have to wait in line hours and hours to vote! So wrong!!!!	|||	OH
I only waited in line for like 30 mins i feel bad for yall waitin hours to vote lol	|||	FL
I think I'm the only one who took off work two hours to vote today. Wow. #ivote #electionday	|||	HI
"So far I've waited an hour in line to vote in Richmond, VA."	|||	VA
"The line to vote at the sub is prob like 3 hours long rn, thank god I went early and only waited 25 mins"	|||	NY
Took me an hour to vote but I waited and I did	|||	OK
Fulfilling my civic duty by waiting on a 2 hour line to vote....I decided to vote for a write in candidate....me!  #election	|||	NY
"I'll be honest, during those three hours I waited in line to vote I kinda thought to myself how I didn't care much for either candidate."	|||	MI
Took an hour and thirty minutes to wait in line to vote.	|||	VA
everyones statuses are about waiting in line for hours. it took me 10 minutes to vote	|||	FL
I waited in line for two and a half hours to vote this morning. Totally worth it! #obama2012 #barackthevote	|||	KS
I'm already Vote!!!!!! yes's it took me 2 hours but I'm happy my brother is going to win!!!!!!	|||	NY
In 12 minutes I will have waited 2 hours to vote....	|||	OH
"It took me 1 hour, 15 minutes to vote on Shatto in Akron's Ward 8. Heaviest turnout I've ever seen there, by far, for ANY election!"	|||	OH
Stood in line for 4 hours to vote. Good news the lady I stood beside creates the scratch off lottery tickets. Well worth the wait.	|||	SC
Waited an hour in the cold to vote today! Had to make sure we re-elected @BarackObama	|||	NH
standing in a 3 hour line outside in the cold to throw away my vote. #humblebrag	|||	VA
RT @BBandAblog: I stood in line for two hours to vote...in sensible shoes even! Thanks for keeping me warm @StevieJWest xo	|||	CA
"I like to tell you I live in Florida, where supposedly it takes 2 hours to queue to vote, it took 20 mins total."	|||	FL
Ok I stood in line for almost 2 hours to vote this morning. Jeanie goes at 5:15pm &amp; walks right in. That just ain't right. #GoVote people!!!	|||	SC
Waited over an hour to vote.	|||	OH
@jusssttttmeeee I waited an hour to vote	|||	DC
"Jim Ertl (ctr., b.ground) waited an hour to #vote in #Millcreek. ""The wait doesn't matter,"" he said. #ErieVotes http://t.co/DRn7ED4s"	|||	PA
Lovely watching neighbors greeting neighbors on a 1.5 hour line to #vote. Happy to be apart of it! #election2012	|||	NY
"Reports of ""probably at least a two-hour line to vote"" at Cedar Falls City Hall. #IAVotes"	|||	IA
Waited 2 hours to vote :-) http://t.co/ki8HEohe	|||	TN
@mrchrisaddison Not sure but long lines usually mean people want change. In Florida some waited 8 hours.+Many chose not to vote.	|||	FL
@shutdeeefackkk I early voted on Friday. It took me 2 hours to vote.	|||	MD
I still can't believe I stood in line 2 hours to vote	|||	GA
"I waited an hour and a half to vote, but it was worth it!!"	|||	DC
Its an hour line to vote? Wtf!	|||	RI
Just waited in line to vote for an hour! So glad to see so many people out there caring for this years election.	|||	MD
Waited in line for 2 hours but it was worth it to cast my vote for @BarackObama.  #Forward	|||	NC
But I did vote damnit. It took three and a half hours out of my life -- three this am before abandoning ship -- and then 1/2 hr to vote.	|||	DC
Holy cow! Waited two hours to vote in Prince William County...which I hear was just mentioned on CNN as a... http://t.co/i1vTpRhv	|||	VA
Just waited in line for THREE hours in the cold to vote.  Get back and find out Dunkin' Donuts will NOT be opening tomorrow. #wtf	|||	VA
Took me an hour and 30 mins to vote!!!! #westfieldproblems #electionday	|||	IN
Took me two hours to vote... But it feels good! #Merica	|||	IA
i stood in line for 2 1/2 hours to vote. this better turn out the way i want it to. #Forward	|||	OH
I just stood in line for 2 hours to vote! Florida is a swing state!	|||	FL
It took me an hour and half to vote lol	|||	VA
Just waited two and a half hours to vote... #why #butididit #forward	|||	WI
"Lol poor her I over heard her saying she was tired, she waited 3 hours in line to vote."	|||	FL
"Waited 2 &amp; a half hours to #vote. Had to do it, people died for the right to do it."	|||	NC
I waited 1 hour in line to vote	|||	FL
"I waited an hour in line to vote in Texas, knowing that my hippie liberal vote for president likely won't count b/c  of electoral collage."	|||	TX
Romney and ryan check.  Scott brown check.   Waited an hour and a half to vote.   Glad its done	|||	MA
So excited to wait in this 3 hour line to vote. #biggestjoke__	|||	MI
Stood in line for 2 hours with my mom today to vote! Make a impact #VOTE2012	|||	VA
Waited almost two hours in line to #vote and then watched a girl get rejected for not having the correct paperwork. #WTF MKE? #election2012	|||	IL
Waited an hour and a half to vote. Oi	|||	MA
"Me too. An hour on the bus, exactly 30 minutes to vote.  RT @agliophobic: It took longer to get to my polling place then it did to vote."	|||	DC
"@bbfan_ld great idea.  I stood in line for an hour this morning to vote but didn't have any ""devices"" to watch the episode with. Good 4 you!"	|||	OH
@theblaze Waited 2 hours to vote for Romney/Ryan...worth every minute! I'd do it again &amp; again. Obama Must Go! GOD SAVE THE USA!!!	|||	FL
Just waited outside for an hour in 35 degree weather with mono to vote #dedication	|||	NY
Photo: Took me one hour and twenty minutes to vote this morning! http://t.co/rKp4qt69	|||	MN
it took me 20mins but shit it all counts ! RT @ModelNupe: 2 and a half hours in line to Vote but fuck it damn sure felt good...	|||	VA
@06BusaRyda I would of waited however long to vote! My aunt lives in ATL and she waited 2 hours to vote!	|||	RI
"RT @KHopkinsWVEC: Voters at Chesapeake sparrow elementary say it took about two hours to vote. The polls just closed here, no outside line."	|||	VA
Hopefully you are already in line to vote... I waited 2 hours. Closing time is at 9pm	|||	IA
Voice has been submitted. Waited 2 hours to vote for Ron Paul... Totally worth it! #ronpaul2012	|||	OH
Waited in line for 1 hour to vote for my president !!	|||	MN
Waited in line for 2 hours to vote this morning! Hope the turnout everywhere else was just as huge! Now the waiting game...	|||	NY
@DiannaAgron stood in line for 2 hours to vote. Was worth it! #proof #ivoted http://t.co/TfuN673b	|||	OH
"@GabrielaVC_ @ephemeraldusk I went to vote at 11! it took 2 hours, which is not bad! Polls closed in 7 states now omo"	|||	DC
First election that I get to vote in. Waited in line for 2 hours! http://t.co/gOyAv9ra	|||	VA
Just stood in line for like an hour to vote! But glad i have the freedom to do that!	|||	TN
Proud to say that I stood in an hour line to exercise my right to vote in my first ever Presidential Election. #USA	|||	OH
@DiannaAgron stood in line for 2 hours to vote. Was worth it! #proof #ivoted http://t.co/K1EZAxCz	|||	OH
"Glad I live in a small town. 2 hour waits to vote? I think it took me 15 minutes &amp; that included driving there, stopping at the PO and home"	|||	IA
I assume that countries with voter turnout in the 70-80% range have much less absurd polling procedures. I waited 1.5 hours to vote today.	|||	NY
Im glad technology has progressed in the last 50 years.. Only took me 3 hours to vote tonight.. #ridiculous	|||	NY
Took me 45 minutes to vote in Dearborn at noon. Took my wife an hour and a half to vote at 5 p.m. TONS of turnout.	|||	MI
#Florida Voting - 1 machine per location. Ridiculous. Do they not want us to vote? 4-5 hour lines. Madness!	|||	FL
Phone is dying and I'm about to get in a  2 hour line to vote... Fml.	|||	OK
Waited a little over an hour in line to vote and it was totally worth it #vote2012	|||	WI
4 Hour line to vote at my college... O_o	|||	FL
Apparently no one with the last names I thru J likes to vote because I just skipped the 2+ hour line and voted in 5 minutes #RommeyRyan2012	|||	OH
I stood in line for 1 hour to vote! Well worth the time. #romneyryan2012	|||	OK
Took me 3 hours to vote for Obama in 2008 and 40 minutes last Friday! But it doesn't matter how long u wait just long as u go and vote!	|||	GA
Waited an hour and fifteen minutes to vote in Harlem at 145th - chaotic.	|||	NY
"Waited three hours to vote. Now, I get watch the results roll in from a busy newsroom. This is cool. #ElectionDay2012"	|||	FL
waited 2 hours and 30 minutes to vote for the president! You know the election is important when the line is that long! #RomneyRyan2012	|||	FL
Election day crush.  Over 1 hour line to vote in the West Village... http://t.co/iAP5hsQX	|||	NY
I waited one hour and forty five minutes to give USA my vote! #TrueAmerican	|||	VA
"I waited one hour on this line to VOTE. I cast my VOTE, did you cast yours. http://t.co/gDn5aMyW"	|||	NY
Waited in line for 2.5 hours to vote at JW Alvey elementary in Prince William county va. #Election2012	|||	DC
Waited in line for two hours to vote. #dedication	|||	FL
"unbelievably LONG lines in NYC area-mostly b/c displaced voters were allowed to vote out of county-waited over an hour,but worth it PBO!!!!!"	|||	NY
It took me 3 hours to vote :I hung in there and got it done. PLEASE VOTE !!!!	|||	MO
Took an hour and twenty minutes to vote.. Totally worth it.	|||	PA
Waited an hour and a half in line to vote. #CommitedDemocrat	|||	IL
Waited an hour in line to vote. It was fucking in tents. #ObamaBiden2012 Also #YesToQuestion6	|||	MD
@iDame0utlaw exactly!  I took a test to determine who I would vote for. It was an hour long and Romney and I were 71% on the same page..	|||	CT
2 hour 15 minutes the about of time i waited in line to vote!	|||	WI
"Allowed myself an hour 2 vote &amp; it took 10 min. Now what ? I'm not suppose to b ahead of schedule
I'm suppose to be behind running 4 my life"	|||	NY
"As I stood in line to vote for two hours, I thought about my Marine buddies throughout the world who have been denied their rights to vote!"	|||	VA
Stood in line for 1 1/2 hours to vote for @BarackObama. My 19 yr old daughter also voted for the 1st time!!! #Obama2012 #Election2012	|||	VA
"waited two hours to vote, i understand people complaining but i wasn't exactly in george washington's army crossing the potomac #perspective"	|||	DC
@kingsthings long line. waited 2 hours to vote.	|||	MI
Waited fucking 4 and a half hours to vote. Fuck this country.	|||	FL
@rashiedrushing u rock - god bless you waited 2 hours to vote for Mitt - u are special	|||	NY
11 minutes! 11...MINUTES!!! I can't believe it took such a short time for me to vote when some are in line for hours! LOVE IT!! #voting	|||	VA
"Fudge my life -__- that took an hour and a half to vote, friggin' ridiculous!!"	|||	CA
Just waited 1 hour and 17 minutes to vote. I love democracy! #ivoted #decision2012	|||	NH
"Took less than 10 min to get my ballot, vote, &amp; submit. Appalling that some people had to wait HOURS to vote."	|||	CA
Took me a hour to vote	|||	AL
Waited for in line 2.45 hours to vote #dedication #ivoted http://t.co/Eh4XKPJi	|||	IL
For those of you who waited hours to vote... the whole process took me like 5 minutes haha	|||	FL
Took an hour to vote!	|||	NY
@ThisIsRobThomas as i waited 2 hours to vote i had to keep reminding myself..this land is your land this land is my land...... good one!	|||	FL
@ColesvillePatch every poll I drove by in Montgomery county had no line. Friends in VA said it took them 5 hours to vote.	|||	VA
Just stood in line 2 hours to vote. My back feet n legs r sore and my stomach is growllingg.	|||	LA
@pjwood67 It sure is!! I waited 2 1/2 hours to vote at 10 am &amp; loved every minute! Lots of gripers but I was all happy &amp; stuff! Love people!	|||	IN
@SherrieShamon WooHoo!! Heard some people took up to 5 hours to vote!	|||	FL
Dam people was waiting 3 hours to vote I waited 5 mins	|||	OH
God damn I should have waited to vote until I got to work so I could leave too. These bitches have been gone for 2 hours.	|||	MN
I waited two hours to vote. I'd wait longer to re-elect my president	|||	NY
So far person in my family who waited the longest to vote was my daughter @belindahannigan. Said it took her 2 hours on Saturday!	|||	FL
Stood in line to vote for almost an hour. Haven't eaten in eight. Figured I'd treat myself. #StuffedCrust http://t.co/jblEvNAD	|||	MD
"@dj_eug I KNOW. that was my question this morning...when i waited 2 hours to ""scan"" my scantron vote."	|||	NY
"Took me 3 hours and 20 minutes to vote! 5,000 voters in 1 polling location is too much! Not to mention the poll workers are mostly seniors"	|||	AL
Two-Hour line to vote? Okay NYC....... Really? http://t.co/xv1iw9Zo	|||	NY
Waiting in a 2 hour line to vote &gt;&gt;&gt;&gt;	|||	NY
im mad i waited 2 hours on line to vote and left for class allll the way downtown to take midterms just to find out it was cancelled -__-	|||	NY
It took my dad an hour and a half to vote	|||	NJ
My mom's celebratory bottle of wine because she waited in line to vote for two hours. #YouDeserveIt http://t.co/86n5Vhtu	|||	VA
"Took 2 hours to vote, testified for one of my roomates, and going to work for another so she can go. The end results better not let me down."	|||	IA
"Waited in line for two hours to vote. On the bright side, that means that people actually came out to vote #'Merica"	|||	OH
Waiting in a 2 hour line to vote &lt;&lt;&lt;&lt;	|||	NY
RT @MrStealyogurl42: Stood in line for 2 hours to vote #EveryVoteCounts #Merica	|||	IN
@nancylmack stood in line for 3 hours and 15 min tonight to vote Obama!	|||	FL
@DarrenCriss i got up at 6 waited outside for an hour but i got to vote for the first time!! :D	|||	MD
@iansomerhalder I've waited THREE&amp; a half hours to vote but I FINALLY got to! My first time voting :D worth the wait! #Vote2012 #Obama2012	|||	MI
"My Senator, who I waited 2 1/2 hours to vote for, is projected to win (Cardin)."	|||	DC
Waited an hour and a half to vote tonight.  I old guy couldn't find my name on the list.  It's like let me do it.  But it's done.	|||	FL
"My mom's gonna end up getting a ""the lines are so mother fucking long it took 4 hours to vote today"" sticker."	|||	FL
Waited in line for 2 hours to vote today!	|||	OH
@RacerGirlAmanda I stook in line for an hour last time so I decided to early vote this time.  I was in and out in like 5 minutes.	|||	TN
I live in the battleground state of Virginia! Waited 3.5 hours to vote today in Arlington. Voters waited patiently. #electionday	|||	DC
"Much respect for everyone who stood in line for hours to vote. I stood in line for 0 minutes, and they even gave Buttercup an M&amp;M."	|||	ID
Stood in line for 1 1/2 hours to vote_?well worth it to have the opportunity #Ivoted	|||	TN
Waited in line one hour and twenty minutes to vote. Geesh. Never seen so many people voting!	|||	VA
"@patrickklepek Florida here, waited in line for three hours to vote in Orlando. I sure hope I didn't wait that long to just lose to Romney."	|||	FL
"@NPR @WNYC @BrianLehrer stood in line to vote for 2 hours in Park Slope, Brooklyn ...3:30-5:30! Nice time with neighbors...but yikes!"	|||	NY
Stood in line for a hour and a half to vote. #vote #obama #election http://t.co/hNGIbhE5	|||	VA
#Election2012 Still 2 hour lines waiting to vote in SW FL after 7 pm close. Do NOT Call!	|||	FL
Went with my mom to vote &amp; it took 2 hours! __ My feet hurt..	|||	MI
@katiecouric  stood in line for an hour  to vote didnt mind. when there was a first time voter the whole place cheered.  It was amazing	|||	MD
@ubrmel It has been incredible the stories from around here today. Took me over an hour to vote and that was easy compared to most.	|||	DC
So i waited like an hour to go vote which i didnt even get to do when i could have been working on my essay	|||	TX
Took me two hours to vote #worthit	|||	NY
Took one and a half hours to vote today. What a turn out! Not a complaint in the group. Makes one proud.	|||	FL
Waited an hour!?! to vote and it wasnt the scanner - it was a blind 80 year old lady who took FOREVER to find me in the book. #voteforaclown	|||	NY
waited 2 hours on a line to vote! RT @Radical_Heart: RT @HouseOfCruz: where is @Beeis_SoDope ?!?!?!	|||	NY
"A banner day for a voting, I went to vote and for the first time in years I had to stand in line; took an hour, as opposed to 5-10 mins."	|||	NE
Just waited in line for 3 hours to vote. In the cold. Wow #fuckamerica	|||	VA
Only took me 2 hours to vote! Had a great time &amp; now anxiously watching the results.	|||	TX
Lol. People waitin for hours in line to vote. That shit took me 5 minutes.	|||	LA
My voting precinct is awful. It took me three hours in line to vote.	|||	VA
Took two hours to vote but it was worth the wait!  http://t.co/gjeYcL94	|||	NY
We finally got to vote :)) took an hour and a half but it feels good! http://t.co/TZt38153	|||	NC
@BarackObama I waited for 3 1/2 hours to vote for President Obama and I would wait another 3 1/2 if I had to #elections2012 #1sttimevoting	|||	MI
My great grandaddy who is 84 years old stood in line for 3 hours to make sure he was able to vote. I love him	|||	CA
Waited two and a half hours to vote with @mashyytee and Twitterless Sean cause I'm an adult yo	|||	VA
RT @barbpetersen: @amandapalmer waited 2 hours to vote w my 20yo son. Worth. Every. Fucking. Second. #Ivoted http://t.co/ZEeUKS0U	|||	IL
@Ken193hair Took us 4 hours to vote here today!	|||	SC
It took me two hours and 46 minutes to vote.	|||	NY
"Took an hour and a half to vote in #Astoria. People were all confused, cold and grumpy,"	|||	NY
when i said i waited over an hour to vote-not taking away from ppl who waited HRS. pt is I never waited more than 5 min to vote-even in 08.	|||	NY
#stayinline!!! i waited four and a half hours to vote and it was worth it!	|||	FL
@andersoncooper I stood in line for 3.5 hours to vote this am in Arlington Va. Only 5 electronic machines for 100s of ppl. @cnn #election	|||	DC
